problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP11,5,TAFR-meaningful-gain,True,0.18587339480177703,0.49364491480747186,0.012851549341228188,0.7193012236013524,0.0,16.0,1.3303303809674083,1.3303303809674083,0.0
PMOP11,5,equal,True,0.18587339480177703,0.49364491480747186,0.012851549341228188,0.7193012236013524,0.0,16.0,,1.3303341358093725,
PMOP11,5,CHIM-posthoc,False,,1.2101941932396398,0.6766916152148278,1.2339036712385338,0.0,16.0,,,
PMOP11,5,TPE-2024-grid,True,0.9286523233385563,1.234517390920804,0.7986275853554454,1.2553449816911715,0.0,16.0,,0.0,
PMOP12,5,TAFR-meaningful-gain,True,0.01812633238955146,0.13449351845388557,0.016015031739021374,0.13116865413650172,16.0,16.0,0.07159180209413861,0.07358692015636702,0.001995118062228407
PMOP12,5,equal,True,0.01812633238955146,0.13449351845388557,0.016015031739021374,0.13116865413650172,16.0,16.0,,0.07358692015636702,
PMOP12,5,CHIM-posthoc,False,,0.9993253131865882,0.8534695162350027,0.9876078721403312,16.0,16.0,,,
PMOP12,5,TPE-2024-grid,True,0.01812633238955146,0.13449351845388557,0.016015031739021374,0.13116865413650172,16.0,16.0,,0.07358692015636702,
PMOP13,5,TAFR-meaningful-gain,True,0.0,0.0090558842317327,0.0,0.0090558842317327,1001.0,1001.0,0.9492906632466369,0.9492906632466369,0.0
PMOP13,5,equal,True,0.0,0.009055884231732703,0.0,0.009055884231732703,1001.0,1001.0,,0.018111768463465402,
PMOP13,5,CHIM-posthoc,False,,0.9889084239465582,0.988894574809066,0.9889084239465582,1001.0,1001.0,,,
PMOP13,5,TPE-2024-grid,True,0.0,0.009055884231732703,0.0,0.009055884231732703,1001.0,1001.0,,0.018111768463465402,
PMOP14,5,TAFR-meaningful-gain,True,0.028635256981241558,0.03270917321462436,0.028635256981241558,0.03270917321462436,2.0,1001.0,0.06914378961384024,0.06914378961384025,1.3877787807814457e-17
PMOP14,5,equal,True,0.028635256981241558,0.03270917321462436,0.028635256981241558,0.03270917321462436,2.0,1001.0,,0.06914378961384025,
